Topic,Count,Name,Representation,Representative_Docs,Top Keywords
18,67,18_verification_number_assure_automation,"['verification', 'number', 'assure', 'automation', 'method', 'text', 'mtb', 'operationa', 'dash', 'sen']","['constantly ask verification every time open app let choose verification method even want option expat long number need rely family live hour behind give code ever time want check account allow add new device remove old one use email verification method would issue people lose phone another number file come', 'rest assure contradict security online phone rest assure scenario MFA obvious security option call text decide use call option automation prompt call rest assure number call certainly number AUTOMATION caller PHONES call without doubt ROUTED express enough online intrusion ppl', 'rest assure contradict security online phone rest assure scenario MFA obvious security option call text decide use call option automation prompt call rest assure number call certainly number AUTOMATION caller PHONES call without doubt ROUTED express enough online intrusion ppl']","verification, number, assure, automation, method, text, mtb, operationa, dash, sen"
19,66,19_picture_capture_taking_camera,"['picture', 'capture', 'taking', 'camera', 'image', 'photo', 'focus', 'refocus', 'garble', 'selfie']","['app continue refocus camera take focus try manually take picture also want focus auto photo mode huge waste time', 'app continue refocus camera take focus try manually take picture also want focus auto photo mode huge waste time', 'app continue refocus camera take focus try manually take picture also want focus auto photo mode huge waste time']","picture, capture, taking, camera, image, photo, focus, refocus, garble, selfie"
20,65,20_bbc_multibillion_io_fortune,"['bbc', 'multibillion', 'io', 'fortune', 'corporation', 'sux', 'blow', 'gud', 'milk', 'approvement']","['App work great io blow bbc android', 'App work great io blow bbc android', 'App work great io blow bbc android']","bbc, multibillion, io, fortune, corporation, sux, blow, gud, milk, approvement"
21,65,21_credential_html_convert_firefox,"['credential', 'html', 'convert', 'firefox', 'jasnobject', 'jsonoject', 'webt', 'unistalled', 'instal', 'web']","['credential log web site old version app work new version try log Chrome problem app still say credential wrong credential app still star app use credential use sign web site still say wind credential want change password fine website zero star app totally useless', 'credential log web site old version app work new version try log Chrome problem app still say credential wrong credential app still star app use credential use sign web site still say wind credential want change password fine website zero star app totally useless', 'credential log web site old version app work new version try log Chrome problem app still say credential wrong credential app still star app use credential use sign web site still say wind credential want change password fine website zero star app totally useless']","credential, html, convert, firefox, jasnobject, jsonoject, webt, unistalled, instal, web"
22,64,22_terrible_dow_bot_worst,"['terrible', 'dow', 'bot', 'worst', 'ban', 'especially', 'completely', 'always', '', '']","['terrible', 'terrible', 'terrible']","terrible, dow, bot, worst, ban, especially, completely, always, , "
23,64,23_gonna_alto_combine_bay,"['gonna', 'alto', 'combine', 'bay', 'delimit', 'comma', 'definately', 'excel', 'perret', 'quickbooks']","['basic banking app phone little clunky fan many external service program use way app really communicate banking account without give way much access third party plaid banking verification super sketch want give Zach Perret Bay area tech firm banking info', 'app difficult use lack ability user create downloadable file use Excel QuickBooks accounting database tool need ability create comma delimit file many bank one Wells Fargo give user ability also bank credit union allow', 'app difficult use lack ability user create downloadable file use Excel QuickBooks accounting database tool need ability create comma delimit file many bank one Wells Fargo give user ability also bank credit union allow']","gonna, alto, combine, bay, delimit, comma, definately, excel, perret, quickbooks"
24,63,24_flex_fulfill_shouldnt_india,"['flex', 'fulfill', 'shouldnt', 'india', 'obligation', 'dude', 'dime', 'billing', 'instant', 'bill']","['app along access pay bill suck provide relatively easy way fulfill obligation pay bill screw get nothing credit card never late payment year problem never pay dime make almost IMPOSSIBLE pay SHOULDNT give BANK info INDIA DUDE EVERYTIME want pay BILL even get customer service service fix', 'app along access pay bill suck provide relatively easy way fulfill obligation pay bill screw get nothing credit card never late payment year problem never pay dime make almost IMPOSSIBLE pay SHOULDNT give BANK info INDIA DUDE EVERYTIME want pay BILL even get customer service service fix', 'app along access pay bill suck provide relatively easy way fulfill obligation pay bill screw get nothing credit card never late payment year problem never pay dime make almost IMPOSSIBLE pay SHOULDNT give BANK info INDIA DUDE EVERYTIME want pay BILL even get customer service service fix']","flex, fulfill, shouldnt, india, obligation, dude, dime, billing, instant, bill"
25,62,25_zelle_brother_consistantly_tdb,"['zelle', 'brother', 'consistantly', 'tdb', 'ameris', 'pmts', 'thsi', 'moblie', 'token', 'refresh']","['bad banking app ever use login page account page zelle almost always time app show maintenance time open doubt even refresh token close app relogin even active session Most time stare screen loading surprised allow banking app', 'bad banking app ever use login page account page zelle almost always time app show maintenance time open doubt even refresh token close app relogin even active session Most time stare screen loading surprised allow banking app', 'bad banking app ever use login page account page zelle almost always time app show maintenance time open doubt even refresh token close app relogin even active session Most time stare screen loading surprised allow banking app']","zelle, brother, consistantly, tdb, ameris, pmts, thsi, moblie, token, refresh"
26,61,26_cat_provision_incomplete_certainly,"['cat', 'provision', 'incomplete', 'certainly', 'client', 'press', 'accordingly', 'reference', 'november', 'store']","['Reference Code refer may ask information client give ask press Update button Truist App online let first share personal opinion whoever request update button push actual update complete App know App definitely incomplete certainly ready client update anything time web Tech Support FIX mess ASAP', 'Reference Code refer may ask information client give ask press Update button Truist App online let first share personal opinion whoever request update button push actual update complete App know App definitely incomplete certainly ready client update anything time web Tech Support FIX mess ASAP', 'Reference Code refer may ask information client give ask press Update button Truist App online let first share personal opinion whoever request update button push actual update complete App know App definitely incomplete certainly ready client update anything time web Tech Support FIX mess ASAP']","cat, provision, incomplete, certainly, client, press, accordingly, reference, november, store"
27,60,27_usefully_friendly_aesthetic_guide,"['usefully', 'friendly', 'aesthetic', 'guide', 'user', 'shark', 'video', 'gui', 'judge', 'efficient']","['App user friendly', 'fan app several reason difficult navigate hard view get detail information transaction sure video guide user navigate app prefer website layout time app', 'fan app several reason difficult navigate hard view get detail information transaction sure video guide user navigate app prefer website layout time app']","usefully, friendly, aesthetic, guide, user, shark, video, gui, judge, efficient"
28,59,28_effective_year_ijs_cert,"['effective', 'year', 'ijs', 'cert', 'jfc', 'compatible', 'compatable', 'thousand', 'installation', 'timing']","['use app year suddenly decide compatible thousand phone extremely disappointing might move business elsewhere', 'use app year user friendly always work without issue concerned timing update IJS JFC', 'use app year user friendly always work without issue concerned timing update IJS JFC']","effective, year, ijs, cert, jfc, compatible, compatable, thousand, installation, timing"
29,59,29_debit_merchant_authorize_roo,"['debit', 'merchant', 'authorize', 'roo', 'cardholder', 'billing', 'recur', 'secondary', 'means', 'approve']","['authorize merchant recur billing merchant bill even though cardholder merchant recur billing financial institution trust keep money safe avoid', 'authorize merchant recur billing merchant bill even though cardholder merchant recur billing financial institution trust keep money safe avoid', 'authorize merchant recur billing merchant bill even though cardholder merchant recur billing financial institution trust keep money safe avoid']","debit, merchant, authorize, roo, cardholder, billing, recur, secondary, means, approve"
30,59,30_buffer_shield_fouled_preventing,"['buffer', 'shield', 'fouled', 'preventing', 'frozen', 'repair', 'occasionally', 'log', 'continue', 'freeze']","['random chance ability log account sometimes smart shield let sometimes force close log app around time sometimes let', 'random chance ability log account sometimes smart shield let sometimes force close log app around time sometimes let', 'random chance ability log account sometimes smart shield let sometimes force close log app around time sometimes let']","buffer, shield, fouled, preventing, frozen, repair, occasionally, log, continue, freeze"
31,58,31_membership_prepaid_discover_form,"['membership', 'prepaid', 'discover', 'form', 'practice', 'cancel', 'creditcard', 'whilst', 'diffferent', 'varo']","['keep receive charge Fitness would allow cancel membership Discover keep allow charge account try cancel membership two year whilst pay silly charge Discover keep approve Discover customer year unfortunately anything else could cancel account fraudulent charge update Discover send collection finally gym payment stop seem criminal', 'keep receive charge Fitness would allow cancel membership Discover keep allow charge account try cancel membership two year whilst pay silly charge Discover keep approve Discover customer year unfortunately anything else could cancel account fraudulent charge update Discover send collection finally gym payment stop seem criminal', 'keep receive charge Fitness would allow cancel membership Discover keep allow charge account try cancel membership two year whilst pay silly charge Discover keep approve Discover customer year unfortunately anything else could cancel account fraudulent charge update Discover send collection finally gym payment stop seem criminal']","membership, prepaid, discover, form, practice, cancel, creditcard, whilst, diffferent, varo"
32,57,32_finicky_trouble_garbage_reliably,"['finicky', 'trouble', 'garbage', 'reliably', 'doesnt', 'encounter', 'server', 'maintenance', 'hand', 'log']","['garbage like website Finicky constantly log', 'garbage like website Finicky constantly log', 'garbage like website Finicky constantly log']","finicky, trouble, garbage, reliably, doesnt, encounter, server, maintenance, hand, log"
33,57,33_biometricly_discusting_norm_relaunch,"['biometricly', 'discusting', 'norm', 'relaunch', 'login', 'beautifully', 'unenroll', 'restarting', 'tdbank', 'secret']","['several day mostly get app work right take forever open stay green screen finally allow biometric username password try close reopen app restarting twice open restart norm stop quickly Bank promise convenience convenient', 'several day mostly get app work right take forever open stay green screen finally allow biometric username password try close reopen app restarting twice open restart norm stop quickly Bank promise convenience convenient', 'day ago app stopd provdng Biometrics login time hassle lookng psswrd Reactvtd Biomtrx signin time make sure listd remembrd device truist tech dept calld undrstnd advisd uninstall app shut dwn reinstall later issue remain happnd mid lastd othr Bank app work fine Othrws postd great app easy use internl transfr betwn acct instantaneous like Zelle']","biometricly, discusting, norm, relaunch, login, beautifully, unenroll, restarting, tdbank, secret"
34,57,34_freeze_freezes_mitigate_juncture,"['freeze', 'freezes', 'mitigate', 'juncture', 'uninstaled', 'frozen', 'logo', 'evenopen', 'dosplay', 'pixiefold']","['App get stuck load spin wheel anytime try navigate tab link insanely bug break need fix app worthless juncture take app store fix many review like one seem issue yet mitigate', 'App get stuck load spin wheel anytime try navigate tab link insanely bug break need fix app worthless juncture take app store fix many review like one seem issue yet mitigate', 'App get stuck load spin wheel anytime try navigate tab link insanely bug break need fix app worthless juncture take app store fix many review like one seem issue yet mitigate']","freeze, freezes, mitigate, juncture, uninstaled, frozen, logo, evenopen, dosplay, pixiefold"
35,57,35_boo_bill_modify_dividend,"['boo', 'bill', 'modify', 'dividend', 'corp', 'wage', 'equity', 'inop', 'paymentsq', 'sham']","['dividend non enough Corp believe cost equity wage people pay back', 'dividend non enough Corp believe cost equity wage people pay back', 'dividend non enough Corp believe cost equity wage people pay back']","boo, bill, modify, dividend, corp, wage, equity, inop, paymentsq, sham"
36,57,36_transfer_soccer_timing_growth,"['transfer', 'soccer', 'timing', 'growth', 'unread', 'webx', 'ads', 'desk', 'international', 'frozen']","['transfer use debit card bad try use debit card international transfer multiple time checking account get frozen follow help desk even issue resolve', 'transfer use debit card bad try use debit card international transfer multiple time checking account get frozen follow help desk even issue resolve', 'transfer use debit card bad try use debit card international transfer multiple time checking account get frozen follow help desk even issue resolve']","transfer, soccer, timing, growth, unread, webx, ads, desk, international, frozen"
37,56,37_disgust_provider_service_disappoint,"['disgust', 'provider', 'service', 'disappoint', 'price', 'bull', 'competitive', 'flow', 'skyrocket', 'quality']","['disgust extra charge', 'disgust extra charge', 'auto price skyrocket disappoint go feel exclusive take advantage service awesome pay much comparison competitor shop around']","disgust, provider, service, disappoint, price, bull, competitive, flow, skyrocket, quality"
38,56,38_love_gift_redeem_bugged,"['love', 'gift', 'redeem', 'bugged', 'rack', 'object', 'impression', 'straw', 'budgeting', 'hello']","['love bank app could use work state several time glitch try redeem gift card entire gift card section redeem point work update several time since glitch still fix point rack nearly month redeem even read review hello developer least person staff great', 'love bank app could use work state several time glitch try redeem gift card entire gift card section redeem point work update several time since glitch still fix point rack nearly month redeem even read review hello developer least person staff great', 'love bank app could use work state several time glitch try redeem gift card entire gift card section redeem point work update several time since glitch still fix point rack nearly month redeem even read review hello developer least person staff great']","love, gift, redeem, bugged, rack, object, impression, straw, budgeting, hello"
39,55,39_hack_escondido_memorial_servant,"['hack', 'escondido', 'memorial', 'servant', 'solomon', 'shalohm', 'impressive', 'kimball', 'humble', 'reconcile']","['Shalohm account hack call month Escondido branch call today system refuse human representative demand payment would like assistance reconcile California BofA branch investigate lose fund email security team already let help humble servant Solomon Memorial Kimball', 'Shalohm account hack call month Escondido branch call today system refuse human representative demand payment would like assistance reconcile California BofA branch investigate lose fund email security team already let help humble servant Solomon Memorial Kimball', 'Shalohm account hack call month Escondido branch call today system refuse human representative demand payment would like assistance reconcile California BofA branch investigate lose fund email security team already let help humble servant Solomon Memorial Kimball']","hack, escondido, memorial, servant, solomon, shalohm, impressive, kimball, humble, reconcile"
40,54,40_keybank_appropriately_entirely_drawing,"['keybank', 'appropriately', 'entirely', 'drawing', 'navigating', 'unloaded', 'wipe', 'suggest', 'key', 'reliability']","['App get stick hello page call keybank support clue already ask zero result load unloaded app clear cache restart worth result read review clearly bug app version frustrating talk keybank tech support long fix update response review keybank suggest already vpn thing suggest success', 'App get stick hello page call keybank support clue already ask zero result load unloaded app clear cache restart worth result read review clearly bug app version frustrating talk keybank tech support long fix update response review keybank suggest already vpn thing suggest success', 'App get stick hello page call keybank support clue already ask zero result load unloaded app clear cache restart worth result read review clearly bug app version frustrating talk keybank tech support long fix update response review keybank suggest already vpn thing suggest success']","keybank, appropriately, entirely, drawing, navigating, unloaded, wipe, suggest, key, reliability"
41,54,41_perfectly_model_galaxy_determine,"['perfectly', 'model', 'galaxy', 'determine', 'region', 'regios', 'fixable', 'moynihan', 'latino', 'bots']","['super disappoint app long compatible Samsung note perfectly good phone need replace time soon deposit check twice month phone day physical bank normal hour complaint region use happily year little choice switch chase idk Apple cut deal region monumental failure', 'adjust rating bill pay service require ATTENTION GPS Play Service indicate current version update available NFC BPS pale comparison competitor global market make fiscal bargains tight service must remain top notch bill service functional step pls forgive redact old comment security alert per GPS Team version remain current low rating remain eye NFCU Team especially digital crook', 'adjust rating bill pay service require ATTENTION GPS Play Service indicate current version update available NFC BPS pale comparison competitor global market make fiscal bargains tight service must remain top notch bill service functional step pls forgive redact old comment security alert per GPS Team version remain current low rating remain eye NFCU Team especially digital crook']","perfectly, model, galaxy, determine, region, regios, fixable, moynihan, latino, bots"
42,54,42_taco_bell_fraud_eat,"['taco', 'bell', 'fraud', 'eat', 'hold', 'responsible', 'comprise', 'tear', 'coincidentally', 'lift']","['cancel Taco Bell transaction day already eat look like eat cheat payment day later try get ban local Taco Bell call authorize charge agent say certain type cancel charge even show account wrong even fix', 'cancel Taco Bell transaction day already eat look like eat cheat payment day later try get ban local Taco Bell call authorize charge agent say certain type cancel charge even show account wrong even fix', 'cancel Taco Bell transaction day already eat look like eat cheat payment day later try get ban local Taco Bell call authorize charge agent say certain type cancel charge even show account wrong even fix']","taco, bell, fraud, eat, hold, responsible, comprise, tear, coincidentally, lift"
43,54,43_loser_digital_culdnt_pyck,"['loser', 'digital', 'culdnt', 'pyck', 'deposit', 'moble', 'iffy', 'check', 'legal', 'mad']","['hard deposit check attempt Loser bank legal offer interest rate saving', 'try get copy notice pyck deposit tell could access print deposit cause transaction digital could send word deposited cause digital mad look another bank investment', 'try get copy notice pyck deposit tell could access print deposit cause transaction digital could send word deposited cause digital mad look another bank investment']","loser, digital, culdnt, pyck, deposit, moble, iffy, check, legal, mad"
44,54,44_biomatric_login_java_redo,"['biomatric', 'login', 'java', 'redo', 'revision', 'exact', 'unnecessary', 'logon', 'buffer', 'random']","['biomatric login work sure anyone work fix issue block login', 'biomatric login work sure anyone work fix issue block login', 'biomatric login work sure anyone work fix issue block login']","biomatric, login, java, redo, revision, exact, unnecessary, logon, buffer, random"
45,53,45_fingerprint_rooted_fingertip_scanner,"['fingerprint', 'rooted', 'fingertip', 'scanner', 'finger', 'print', 'doesent', 'ether', 'promt', 'evilllll']","['need stop ask want use fingerprint every time', 'fingerprint work', 'fingerprint work']","fingerprint, rooted, fingertip, scanner, finger, print, doesent, ether, promt, evilllll"
46,53,46_tablet_disappear_reassuring_spectacular,"['tablet', 'disappear', 'reassuring', 'spectacular', 'shut', 'dang', 'nag', 'open', 'personally', 'wow']","['App disappear', 'app disappear tablet play store tablet answer well use tablet wow hand money real reassuring', 'app disappear tablet play store tablet answer well use tablet wow hand money real reassuring']","tablet, disappear, reassuring, spectacular, shut, dang, nag, open, personally, wow"
47,53,47_late_date_expire_pillage,"['late', 'date', 'expire', 'pillage', 'becaise', 'waa', 'haant', 'juat', 'theifs', 'suspiciously']","['get pillage late fee becaise understand deactivate credit card initially call confirm cancel say verify card waa actually expire haant expire juat tell active get', 'get pillage late fee becaise understand deactivate credit card initially call confirm cancel say verify card waa actually expire haant expire juat tell active get', 'get pillage late fee becaise understand deactivate credit card initially call confirm cancel say verify card waa actually expire haant expire juat tell active get']","late, date, expire, pillage, becaise, waa, haant, juat, theifs, suspiciously"
48,52,48_predatory_scummi_bureau_inaccurately,"['predatory', 'scummi', 'bureau', 'inaccurately', 'rite', 'unwarranted', 'aut', 'company', 'predator', 'organization']","['predatory credit card company charge even scummi loan shark', 'predatory credit card company charge even scummi loan shark', 'predatory credit card company charge even scummi loan shark']","predatory, scummi, bureau, inaccurately, rite, unwarranted, aut, company, predator, organization"
49,52,49_experience_thrill_comfortable_street,"['experience', 'thrill', 'comfortable', 'street', 'peculiar', 'describe', 'nightmare', 'lame', 'tool', 'luck']","['thrill comfortable give info whatever', 'thrill comfortable give info whatever', 'thrill comfortable give info whatever']","experience, thrill, comfortable, street, peculiar, describe, nightmare, lame, tool, luck"
50,52,50_note_galaxy_samsung_grease,"['note', 'galaxy', 'samsung', 'grease', 'gatekeepe', 'classic', 'backburner', 'homework', 'player', 'biy']","['App incompatible device last update classic example corporation gatekeepe technology begin folk start push back discrimination lose access technology big player pick choose get use ever advance technological state good luck friend Squeaky wheel get grease push back', 'App incompatible device last update classic example corporation gatekeepe technology begin folk start push back discrimination lose access technology big player pick choose get use ever advance technological state good luck friend Squeaky wheel get grease push back', 'App incompatible device last update classic example corporation gatekeepe technology begin folk start push back discrimination lose access technology big player pick choose get use ever advance technological state good luck friend Squeaky wheel get grease push back']","note, galaxy, samsung, grease, gatekeepe, classic, backburner, homework, player, biy"
51,52,51_unlock_fest_agitated_unlinked,"['unlock', 'fest', 'agitated', 'unlinked', 'sht', 'karma', 'clvery', 'ridden', 'connected', 'reconnect']","['nowhere could access app repeatedly say connection know connect internet sometimes transition complete black screen indication happen Bank app still horrible bug fest ridden piece sht day age get time', 'nowhere could access app repeatedly say connection know connect internet sometimes transition complete black screen indication happen Bank app still horrible bug fest ridden piece sht day age get time', 'nowhere could access app repeatedly say connection know connect internet sometimes transition complete black screen indication happen Bank app still horrible bug fest ridden piece sht day age get time']","unlock, fest, agitated, unlinked, sht, karma, clvery, ridden, connected, reconnect"
52,51,52_slow_donkey_silver_slowww,"['slow', 'donkey', 'silver', 'slowww', 'rapid', 'quick', 'efficient', 'smooth', 'live', 'fast']","['quick silver suck donkey', 'quick silver suck donkey', 'quick silver suck donkey']","slow, donkey, silver, slowww, rapid, quick, efficient, smooth, live, fast"
53,50,53_hacker_plenty_adhd_purposeful,"['hacker', 'plenty', 'adhd', 'purposeful', 'kickback', 'greenville', 'exploitation', 'operational', 'leg', 'approval']","['literally never work either forget payment get charge arm leg late fee need remember find time use website remember log information make timely payment even app company go make work seem like purposeful exploitation consumer ADHD thank approval promise kickback bother make hard make payment', 'literally never work either forget payment get charge arm leg late fee need remember find time use website remember log information make timely payment even app company go make work seem like purposeful exploitation consumer ADHD thank approval promise kickback bother make hard make payment', 'literally never work either forget payment get charge arm leg late fee need remember find time use website remember log information make timely payment even app company go make work seem like purposeful exploitation consumer ADHD thank approval promise kickback bother make hard make payment']","hacker, plenty, adhd, purposeful, kickback, greenville, exploitation, operational, leg, approval"
54,50,54_half_lags_actual_navy,"['half', 'lags', 'actual', 'navy', 'nice', 'extremely', 'yes', 'time', 'thru', 'garbage']","['work half time', 'work half time', 'work half time']","half, lags, actual, navy, nice, extremely, yes, time, thru, garbage"
