Review,Date,Stars,Cleaned Reviews,neg,neu,pos,compound,vader_label,star_sentiments
"despite all appearances and menu options, PayPal is not supported.",2025-06-10,1,despite appearance menu option PayPal support,0.179,0.821,0.0,-0.2411,negative,0
not reliable at take money out of your account when you cancel there app,2025-06-10,1,reliable take money account cancel app,0.133,0.867,0.0,-0.25,negative,0
app was working great until the update is not working at all,2025-06-10,1,app work great update work,0.0,0.728,0.272,0.6249,positive,0
App doesn't work. I tried creating a new account and then got stuck on a page saying its too old and requires me to update. I LITERALLY just downloaded this app.,2025-06-10,1,App work try create new account get stick page say old require update LITERALLY download app,0.135,0.865,0.0,-0.4382,negative,0
terrible from sign up to connecting..never even could connect banking. if I could zero stars,2025-06-10,1,terrible sign connect never even could connect banking could zero star,0.193,0.807,0.0,-0.4767,negative,0
stay far away from this company. sent over 100 emails. no answer. no phone number. will scam you and can't contact them.,2025-06-10,1,stay far away company send email answer phone number scam contact,0.296,0.657,0.047,-0.7783,negative,0
"I requested an advance, never received it, and the chat is dumb and doesn't understand when I ask where my advance is. worst app ever! plus, it's impossible to get a customer on the phone.",2025-06-10,1,request advance never receive chat dumb understand ask advance bad app ever plus impossible get customer phone,0.204,0.796,0.0,-0.8268,negative,0
"This recent revamping of the Cleo app is awful. I loved Cleo up until this point. I now have two main issues with this app since this revamping. The first issue is admittedly insignificant--i hate how the fun, purple theme was changed to an ugly and depressing brown. My other issue is a lot more concerning--I can't cancel my subscription to Plus! Cleo acts dumb when I tell her I want to cancel, and I keep getting a 'there was a problem' message when I try to cancel manually. This is awful.",2025-06-10,1,recent revamping Cleo app awful love Cleo point two main issue app since revamping first issue admittedly insignificant hate fun purple theme change ugly depressing brown issue lot concern cancel subscription Plus Cleo act dumb tell want cancel keep get problem message try cancel manually awful,0.206,0.658,0.136,-0.8549,negative,0
you have to pay monthly subscription. and if you want to cancel the app doesn't let you and its extremely difficult to get in touch with real customer service and the app is very bugged and glitchy,2025-06-10,1,pay monthly subscription want cancel app let extremely difficult get touch real customer service app bugged glitchy,0.153,0.815,0.032,-0.5984,negative,0
"I loved this app when I first used it. today, it sucks. I cannot speak to anyone for additional help. the app doesn't load correctly. I cannot switch debit cards to make my payment. it's ridiculous",2025-06-10,1,love app first use today suck speak anyone additional help app load correctly switch debit card make payment ridiculous,0.126,0.707,0.167,0.3818,positive,0
"Wakes me up at 4am, hard for me to sleep, always dinging my phone! wants payment right away, when I get paid monthly!",2025-06-10,1,wake hard sleep always dinge phone want payment right away get pay monthly,0.086,0.914,0.0,-0.2462,negative,0
not helping me.,2025-06-10,1,help,0.486,0.514,0.0,-0.2235,negative,0
"Site is very buggy, their charging me 6 dollars per month and won't let me borrow or cancel the subscription.",2025-06-10,1,site buggy charge dollar per month let borrow cancel subscription,0.1,0.9,0.0,-0.25,negative,0
backstabby,2025-06-10,1,backstabby,0.0,1.0,0.0,0.0,neutral,0
"BE AWARE!! It has saved me plenty of times, since the new update its a SCAM!!! (06/2025) They tell you that you qualify as a builder get an extra $80 and you have to pay. But you have to transfer your own money to qualify. Then after you cancel they reset your time to get money, by the way they never mention that anywhere!!! I canceled this service.",2025-06-10,1,aware save plenty time since new update SCAM tell qualify builder get extra pay transfer money qualify cancel reset time get money way never mention anywhere cancel service,0.108,0.865,0.027,-0.6893,negative,0
The app tracks your spending unwarranted. Sends you too many messages that aren't funny or ok. There was an option to stop the tracking that has now mysteriously disappeared. The help options are few.,2025-06-09,1,app track spending unwarranted send many message funny option stop tracking mysteriously disappear help option,0.209,0.723,0.067,-0.571,negative,0
The worst app ever is not guaranteed but just want to take your membership payment and find excuses.,2025-06-09,1,bad app ever guarantee want take membership payment find excuse,0.128,0.8,0.072,-0.2732,negative,0
"Do you ever read one star reviews and take the risk anyways? Just DON'T. Use Empower or Earnin, take it from someone who's used all 3 of these apps including Cleo.",2025-06-09,1,ever read one star review take risk anyways Use Empower Earnin take someone use app include Cleo,0.068,0.932,0.0,-0.2732,negative,0
trying to unsubscribe and the AI bs is giving me the run around.,2025-06-09,1,try unsubscribe give run around,0.0,0.833,0.167,0.34,positive,0
Never can get advance,2025-06-09,1,never get advance,0.0,1.0,0.0,0.0,neutral,0
they have not returned my money back to my bank account for more than 45 days from my credit builders account after they closed the account i am very dissatisfied with this app be careful it will steal your money it got me for $198.22,2025-06-09,1,return money back bank account day credit builder account close account dissatisfied app careful steal money get,0.121,0.795,0.084,-0.4391,negative,0
so far this is one of the most dumb of all dumb apps I want my money back,2025-06-09,1,far one dumb dumb app want money back,0.32,0.623,0.058,-0.7837,negative,0
"I used to have zero problems with Cleo, I used it regularly and had good experiences with them. Now, after 1 simple mistake on my part with a repayment on an advance, and attempting to fix said mistake, their customer service has declined significantly. Trying to get a hold of a live person is impossible, every time I attempt to message anyone or get help, I'm ignored. On top of that, even with my balance at zero now, the app STILL claims I owe them money. I will never recommend them again.",2025-06-09,1,use zero problem Cleo use regularly good experience simple mistake part repayment advance attempt fix say mistake customer service decline significantly try get hold live person impossible every time attempt message anyone get help ignore top even balance zero app still claim owe money never recommend,0.126,0.795,0.078,-0.5439,negative,0
"I keep getting an error message ""Something went wrong. Try again.""",2025-06-09,1,keep get error message something go wrong try,0.42,0.58,0.0,-0.7003,negative,0
"don't believe what they said ... they check your bank, your credit and they charge monthly... offer way low from promises to get $250 and up👎👎👎 all cash advance are the same..",2025-06-09,1,believe say check bank credit charge monthly offer way low promise get cash advance,0.058,0.799,0.143,0.4767,positive,0
"Everything positive I said about Cleo is now out the windows. They NOW divide your cash advance, letting you only take out half of the full amount at a time. This practice in itself is scummy and unethical. Because instead of charging $7.99 for express once, NOW they charge express twice, getting an extra $8 out of you. Avoid at all costs. deleting my account after payday.",2025-06-09,1,everything positive say Cleo window divide cash advance let take half full amount time practice scummy unethical instead charge express charge express twice get extra avoid cost delete account payday,0.077,0.872,0.051,-0.2263,negative,0
internal server error when trying to connect bank acct,2025-06-08,1,internal server error try connect bank acct,0.252,0.748,0.0,-0.4019,negative,0
I cancel my subscription and there's still charging me,2025-06-08,1,cancel subscription still charge,0.222,0.778,0.0,-0.25,negative,0
hidden fees read the fine print,2025-06-08,1,hide fee read fine print,0.0,0.735,0.265,0.2023,positive,0
you want to charge me a fee to help save me money. you want me to pay you to save me money. that just doesn't make sense. why would I pay you? scam. there is no concern from me I just know your a scam app. try again with your nonsense reply,2025-06-08,1,want charge fee help save money want pay save money make sense would pay scam concern know scam app try nonsense reply,0.237,0.58,0.183,-0.5267,negative,0
I couldn't get into the app I downloaded Cleo and I got a blank screen when I push the open,2025-06-08,1,could get app download Cleo get blank screen push open,0.0,1.0,0.0,0.0,neutral,0
NOT INTERESTED!,2025-06-08,1,interested,0.718,0.282,0.0,-0.3716,negative,0
"tried setting up a credit builder account but every time I try to pay with my debit card it says there is an issue. Called my bank and there were no problems with my card or my wife's card and neither would go through, tried multiple times. Also, the app typically crashes 2-3 times every time I try to use it.",2025-06-08,1,try set credit builder account every time try pay debit card say issue call bank problem card wife card neither would try multiple time also app typically crash time every time try use,0.125,0.847,0.028,-0.7311,negative,0
I never got my builder's card so I have 40 Dollard floating around somewhere I never spent but paid back can't get another advance and you just took 599 from my checking and won't refund it even though I just canceled my subscription,2025-06-08,1,never get builder card dollard float around somewhere never spend pay back get another advance take checking refund even though cancel subscription,0.0,1.0,0.0,0.0,neutral,0
"Been a member for a few years and somehow they are STILL terrible at getting the next paycheck date right. Sometimes they get it right, other times they come up with a random date then base your repayment date off that so then they want you to repay before your next paycheck even came in and you now have to clean up the mess they created, wasting your time with the useless chat bot that traps you with its useless answers rather than forwarding you to a person. Extending doesn't help me either.",2025-06-08,1,member year somehow still terrible get next paycheck date right sometimes get right time come random date base repayment date want repay next paycheck even come clean mess create waste time useless chat bot trap useless answer rather forward person extend help either,0.158,0.781,0.061,-0.8718,negative,0
This has helped me out in some to tough spots,2025-06-08,1,help tough spot,0.143,0.857,0.0,-0.128,negative,0
"Absolutely horrible experience! Will not let me input either card to join Plus, just keeps telling me to go to help section and everytime I do, it takes me right back to that freakin AI assistant. It is extremely aggravating to not be able to get an actual live person!",2025-06-08,1,absolutely horrible experience let input either card join Plus keep tell help section everytime take right back freakin assistant extremely aggravating able get actual live person,0.121,0.793,0.086,-0.4534,negative,0
card details won't load. can't add it to Google pay. I've tried to reach out to customer service but the apps bot keeps looping me and I can't find an actual contact link anywhere,2025-06-08,1,card detail load add Google pay try reach customer service app bot keep loop find actual contact link anywhere,0.036,0.932,0.032,-0.0387,neutral,0
wont give advance,2025-06-08,1,give advance,0.0,1.0,0.0,0.0,neutral,0
"How can I be such an idiot? They charged me, and I paid their fee. It turns out my social security number doesn't match the information I entered. What kind of garbage is this? I'll contact my bank to block it and get my money back. 0 stars. This app is a scam. Don't download anything.",2025-06-08,1,idiot charge pay fee turn social security number match information enter kind garbage contact bank block get money back star app scam download anything,0.198,0.741,0.061,-0.8541,negative,0
this has got to be the absolute worst money app I have ever had to deal with In my 40 years of living! customer service is bad it's all bad it takes forever to get a response there is not an 800 number to speak to a real person the whole app is a joke if u ask me. and there is no human it don't matter how many times u ask to speak to a human! nobody will answer me back ibhave message and.,2025-06-08,1,get absolute bad money app ever deal year living customer service bad bad take forever get response number speak real person whole app joke ask human matter many time ask speak human nobody answer back ibhave message,0.181,0.794,0.025,-0.9182,negative,0
I just built a account with them assuming I could get a cash advance to help with gas till pay day. now I can't access the cash advance then they charge me for subscription an put me in negative adding on a overdraft fee of 32 dollars. now for me to cancel account I have to pay the 30 dollar towards the cash advance I can't access yet an I will not be refunded on the subscription fee after just canceling it after I subscribed. smh this apps just put you in a bind then help you.,2025-06-08,1,build account assume could get cash advance help gas till pay day access cash advance charge subscription put negative add overdraft fee dollar cancel account pay dollar towards cash advance access yet refund subscription fee cancel subscribe smh app put bind help,0.113,0.83,0.057,-0.5267,negative,0
absolutely terrible,2025-06-08,1,absolutely terrible,0.772,0.228,0.0,-0.5256,negative,0
errors when adding my bank and debit card numbers,2025-06-07,1,error add bank debit card number,0.231,0.769,0.0,-0.34,negative,0
"paid for subscription,now cant cancel because I never received a cash advance,and they are trying to take money off my card but tells me to link my bank , and cant talk to anyone about cancelling this",2025-06-07,1,pay subscription cancel never receive cash advance try take money card tell link bank talk anyone cancel,0.062,0.9,0.039,-0.2095,negative,0
when I try to get the advance it asked to verify card number which is same card for my main direct deposit keeps saying error but the same card worked for them to take the membership fee!! but won't let me get the advance 😕 so I basically paid for a membership that I can't use!!! Then they say check your bank it's there fault well it's not bc it worked just fine for another advance app! and it worked just fine for them to take the membership fee 😡,2025-06-07,1,try get advance ask verify card number card main direct deposit keep say error card work take membership fee let get advance basically pay membership use say check bank fault well work fine another advance app work fine take membership fee,0.058,0.841,0.101,0.453,positive,0
"This Cleo app is a JOKE! I submitted my personal Account info but when I clicked ""Request"" to get a Cash Advance it just kept going back to the column to pay the Cleo Plus or Cleo Advance monthly fee. I am already subscribed to Cleo Plus. Do not apply in this app! It will get all your Personal & Banking Info then the app does not respond after you click ""Request"". This App is definitely a SCAM!! BEWARE!!!",2025-06-07,1,Cleo app joke submit personal Account info click request get cash Advance keep go back column pay Cleo plus Cleo Advance monthly fee already subscribe Cleo Plus apply app get Personal Banking Info app respond click Request App definitely SCAM BEWARE,0.108,0.825,0.067,-0.6598,negative,0
if u trying to get money loan but they want u to pAy a monthly amount. I don't have money that's the whole point of trying to get a loan. I don't have any money 🙄,2025-06-07,1,try get money loan want pay monthly amount money whole point try get loan money,0.053,0.899,0.048,-0.0387,neutral,0
too confusing took a loan of 60 bucks been trying pay it back since i got it no way of paying it back or I'm lost 😞🤦🏾‍♀️🤷🏾‍♀️ help me if 🫵🏾 know how thanks in advance OTD I be cancelling this service,2025-06-07,1,confusing take loan buck try pay back since get way pay back lose help know thank advance OTD cancel service,0.203,0.678,0.119,-0.25,negative,0
This app sucks. If you like being abused via text from a machine that constantly tries you to get into debt via cash advance then this is your app. If you have a clue and don't think getting into deeper debt is the way to manage your finances then avoid this silly app. I am not fond of the name Cleo either. One star is the lowest rating. Because zero stars doesn't register on anything.,2025-06-07,1,app suck like abuse via text machine constantly try get debt via cash advance app clue think get deep debt way manage finance avoid silly app fond name Cleo either one star low rating zero star register anything,0.213,0.744,0.043,-0.9243,negative,0
worst app ever,2025-06-07,1,bad app ever,0.672,0.328,0.0,-0.6249,negative,0
Your graphics were better before! not a fan of this new beige and bland cleo..,2025-06-07,1,graphic well fan new beige bland cleo,0.114,0.7,0.186,0.3027,positive,0
"Cash advances are too small like you can only get a piece of the total borrowing power they offer, the 24hr hold before getting another cash advance is super inconvenient, the instant cash transfer options are too expensive for the measly amounts you're able to advance and the idea of paying more on a subscription for a higher advance when it should be based off income is just too ridiculous to consider. I'm sure there are better options out there.",2025-06-07,1,cash advance small like get piece total borrowing power offer hold get another cash advance super inconvenient instant cash transfer option expensive measly amount able advance idea pay subscription high advance base income ridiculous consider sure well option,0.056,0.811,0.133,0.7717,positive,0
app never works,2025-06-07,1,app never work,0.0,1.0,0.0,0.0,neutral,0
its a scam.,2025-06-07,1,scam,0.787,0.213,0.0,-0.5719,negative,0
subscription service... bs app,2025-06-07,1,subscription service app,0.0,1.0,0.0,0.0,neutral,0
Dont download this app. Took my subscription fee $5.99 but never gave me the cash advance. Try dave or earning. Cleo sucks.,2025-06-07,1,download app take subscription fee never give cash advance try dave earn Cleo suck,0.134,0.866,0.0,-0.5023,negative,0
your app wont let me extend my repayment date because it says i already did which i did not!!!!! your chat box is ridiculous!!!! i need the date changed!!!,2025-06-06,1,app let extend repayment date say already chat box ridiculous need date change,0.097,0.903,0.0,-0.3991,negative,0
I got an advance for $120 and they took $679 out of my account. now I cant pay rent and I'm going to get kicked out of my house,2025-06-06,1,get advance take account pay rent go get kick house,0.0,0.953,0.047,0.0762,positive,0
not the greatest,2025-06-06,1,great,0.627,0.373,0.0,-0.5216,negative,0
When I started getting advances they were large amounts. I pay on time or early in full. They give you less each time as a penalty and no reward for being a good customer. very disappointing. filed with better business Bureau. NOTHING HAS CHANGED. PAID 580 GOT 460 NEXT TIME 280 PAID EARLY GOT 210. SCAMMERS THEY DO NOT UPDATE THE BANK ACCOUNT ON A TIMELY MANNER AND USE WRONG FINANCIAL INFORMATION. MY MISTAKE TO PAY MY 280 THE SAME DAY AND THEN GIVEN 210. SORRY WE NEED TO LIVE ON THIS MONEY.,2025-06-06,1,start get advance large amount pay time early full give less time penalty reward good customer disappointing file well business Bureau nothing change pay GOT next TIME PAID EARLY GOT scammer update BANK account timely MANNER use wrong FINANCIAL information MISTAKE pay day give sorry need live money,0.197,0.715,0.088,-0.8666,negative,0
soo far this is the worst app I've seen in the year you need a monthly subscription and an extra fee 5$ in the first time let you take 30$ but the charge you 20$ before that does make any sense,2025-06-06,1,soo far bad app see year need monthly subscription extra fee first time let take charge make sense,0.061,0.939,0.0,-0.3716,negative,0
I borrowed and they only give 40 dollars thats a joke and they want you to upgrade and pay more,2025-06-06,1,borrow give dollar joke want upgrade pay,0.07,0.754,0.176,0.2732,positive,0
having to pay for a subscription to borrow money is not ideal probably for most people who are in need of a loan.,2025-06-06,1,pay subscription borrow money ideal probably people need loan,0.18,0.82,0.0,-0.4898,negative,0
"when I first started using cleo the app would actually help me. I was able to make some commitments to save money. The cash advances sure came in handy. I could see my own progress with becoming more financially responsible. cleo has become an app that is taking all sorts of fees from me and provides me with no service. though I've continued to receive all the same d.deposits and have all my accts connected. I've paid back my advances on time even early, but cleo has decided no more $advances.",2025-06-05,1,first start use cleo app would actually help able make commitment save money cash advance sure come handy could see progress become financially responsible cleo become app take sort fee provide service though continue receive acct connect pay back advance time even early cleo decide advance,0.046,0.843,0.111,0.4835,positive,0
im unable to get a refund of my $5.99 that I paid the same time I requested a cash advance because the card connected to my bank account is a prepaid card and they won't do an advance to a prepaid card. I just want my $5.99 back because I cancelled my subscription.,2025-06-05,1,unable get refund pay time request cash advance card connect bank account prepaid card advance prepaid card want back cancel subscription,0.043,0.929,0.028,-0.1779,negative,0
Amount of advance changes drastically even when you pay back on time every time.,2025-06-05,1,amount advance change drastically even pay back time every time,0.097,0.903,0.0,-0.1027,negative,0
Absolutely NO Help when You don't have a Physical Brick and Mortar Bank. Saying can't Verify my Income and Finances but yet Had No problem linking my Venmo Account which I Receive my Direct Deposits on and it shows ALL PREVIOUS TRANSACTIONS.,2025-06-05,1,absolutely help Physical Brick Mortar Bank say verify Income Finances yet problem link Venmo Account receive direct deposit show previous transaction,0.182,0.775,0.043,-0.7561,negative,0
Too low..60 bucks..high fees. Not optimal,2025-06-05,1,low buck high fee optimal,0.297,0.703,0.0,-0.2755,negative,0
"cannot reach an actual agent, was not happy with offers.",2025-06-05,1,reach actual agent happy offer,0.337,0.663,0.0,-0.4717,negative,0
"every time I try to do an advance it says something went wrong, please try again later. but nothing goes wrong with them collecting the subscription fees. Just paying for nothing!",2025-06-05,1,every time try advance say something go wrong please try later nothing go wrong collect subscription fee pay nothing,0.185,0.768,0.047,-0.7043,negative,0
"The app is toying with me. I repaid my loan of $40 sooner because I didn't need the loan just for it to be $30 afterwards. I don't have the patience to pay for the subscription to figure if I can get up to $250. I did accidentally hit request eligible for new amount right after I paid. It was a reflex. I borrow and pay back what I want to pay. I don't have credit cards. I feel left out because of the $10 decrease. I'll only need it when I have it, I guess. *deleted acct* wit the quickness.",2025-06-05,1,app toy repay loan soon need loan afterwards patience pay subscription figure get accidentally hit request eligible new amount right pay reflex borrow pay back want pay credit card feel leave decrease need guess delete acct wit quickness,0.095,0.89,0.014,-0.6688,negative,0
app doesn't work,2025-06-04,1,app work,0.0,1.0,0.0,0.0,neutral,0
"in the beginning Cleo was great, but now by the time you pay you subscription fee, all you are doing is paying the interest on the $30 or $40 advance your getting and you get charged a fee to send the money to your account as well. now add all that together, and Cleo is making a killing off of us. never made it past $50 what happened to the other $200 Cleo is a joke, and then talked bad about Moneylion now that the app that helps you you should try it. it's awesome 😎",2025-06-04,1,beginning Cleo great time pay subscription fee pay interest advance getting get charge fee send money account well add together Cleo make killing never make past happen Cleo joke talk bad Moneylion app help try awesome,0.124,0.697,0.179,0.7506,positive,0
"They took $5.99 from me and now every month but they are telling me I don't qualify for a loan because I received a bonus on top of my regular paycheck which apparently confuses ""Cleo"" and places me into an income change that affects my ability to borrow. I can't get anyone to help me. I either deal with an AI bot for assistance or someone who types out generic responses when I explain my situation. I really needed to borrow money for moving expenses! Beware of this app! Not recommending!",2025-06-04,1,take every month tell qualify loan receive bonus top regular paycheck apparently confuse Cleo place income change affect ability borrow get anyone help either deal bot assistance someone type generic response explain situation really need borrow money moving expense beware app recommend,0.031,0.819,0.15,0.9077,positive,0
"I have never had a bad experience with this app before. I have used it quite often. But it seems after the newest app up date, things got messed up. My advance repayment went through, and I canceled my subscription, The next page said your subscription has been canceled successfully, and you will no longer be charged for your subscription. I was still charged, and no confirming cancelation email was sent to me. Now I can't get my refund because I can't prove that it said it was canceled.",2025-06-04,1,never bad experience app use quite often seem new app date thing get mess advance repayment go cancel subscription next page say subscription cancel successfully long charge subscription still charge confirm cancelation email send get refund prove say cancel,0.139,0.795,0.066,-0.7073,negative,0
This charges more then the whole process is worth and I'm not even sure the reason for only 30 dollar advance.,2025-06-04,1,charge whole process worth even sure reason dollar advance,0.17,0.751,0.079,-0.2874,negative,0
You are not helping but hurting your customers.,2025-06-04,1,help hurt customer,0.14,0.581,0.279,0.3491,positive,0
terrible,2025-06-04,1,terrible,1.0,0.0,0.0,-0.4767,negative,0
"inconsistent, terrible,and the worst ever!",2025-06-04,1,inconsistent terrible bad ever,0.523,0.477,0.0,-0.6588,negative,0
Horrible experience back then when I first wrote the review but now this is a great app total turn around for me,2025-06-04,1,horrible experience back first write review great app total turn around,0.087,0.695,0.218,0.6597,positive,0
"doesn't load, have added my bank 3 times and still says there is no account linked. did nothing for me",2025-06-04,1,load add bank time still say account link nothing,0.109,0.891,0.0,-0.296,negative,0
"if i could give zero stars i would. they are nothing, but a bunch of crooks taking advantage of desperate people and they should all be ashamed of themselves.",2025-06-04,1,could give zero star would nothing bunch crook take advantage desperate people ashamed,0.218,0.706,0.077,-0.6808,negative,0
TRASH....pure trash and a waste of time. They expect you to pay a monthly subscription just to even start the services. I don't see how that's helping.,2025-06-03,1,TRASH pure trash waste time expect pay monthly subscription even start service see help,0.153,0.766,0.08,-0.25,negative,0
the app is horrible doesn't work charges you 5.99 and doesn't even let you get any kind of advance in return says there's an error SCAM!!!,2025-06-03,1,app horrible work charge even let get kind advance return say error SCAM,0.326,0.623,0.051,-0.8932,negative,0
"the app will have no issue taking your subscription fees, but if you have any issues due to their app they will basically shrug their shoulders and claim there is nothing they can do, absolutely horrible support team, I recommend you stay far away from this app, check out empower, moneylion or Earnin instead.",2025-06-03,1,app issue take subscription fee issue due app basically shrug shoulder claim nothing absolutely horrible support team recommend stay far away app check empower moneylion Earnin instead,0.108,0.778,0.115,0.1098,positive,0
"I got a payday advance and this site put it on a card that I don't even have yet instead of my checking account, there is no customer service so if you have a problem you can't talk to anybody not happy at all",2025-06-03,1,get payday advance site put card even yet instead checking account customer service problem talk anybody happy,0.18,0.82,0.0,-0.7844,negative,0
After giving all banking information. they want to charge you for an unwanted service 😞,2025-06-03,1,give banking information want charge unwanted service,0.114,0.663,0.223,0.2023,positive,0
I have gotten cash Advances before through this app and now I'm not eligible oh well they lost a customer.,2025-06-03,1,get cash advance app eligible well lose customer,0.205,0.795,0.0,-0.4791,negative,0
"can not get sufficient help, no human help or chat box help, this is frustrating that no one will respond.",2025-06-03,1,get sufficient help human help chat box help frustrating one respond,0.501,0.499,0.0,-0.9016,negative,0
go back to the blue everything. this new brown uodate is horrible. why would you ruin your app like that. i don't even recognize it anymore.,2025-06-03,1,back blue everything new brown uodate horrible would ruin app like even recognize anymore,0.23,0.692,0.079,-0.7003,negative,0
this app is a complete joke! you wil never be free from these people! no way to cancel and don't get any cash advance because years later you will owe but really you've already paid! terrible rip off app taking advantage if people who are already poverty stricken!,2025-06-03,1,app complete joke wil never free people way cancel get cash advance year later owe really already pay terrible rip app take advantage people already poverty stricken,0.308,0.626,0.066,-0.9439,negative,0
the app is not working,2025-06-02,1,app work,0.0,1.0,0.0,0.0,neutral,0
the new update is terrible in my opinion,2025-06-02,1,new update terrible opinion,0.307,0.693,0.0,-0.4767,negative,0
"new upgrade erases information, such as profile pic. cannot replace or retrieve pic. 1. NOT UNDER personal details or account management. 2. uninstalled/reinstalled ...nothing. 3. contacted help 3 times. FIX THE NEW BUG",2025-06-02,1,new upgrade erase information profile pic replace retrieve pic personal detail account management uninstalled reinstalled nothing contact help time fix new bug,0.0,0.92,0.08,0.4019,positive,0
not very good,2025-06-02,1,good,0.567,0.433,0.0,-0.3865,negative,0
hard trying to get to live rep,2025-06-02,1,hard try get live rep,0.189,0.811,0.0,-0.1027,negative,0
I can't connect with PayPal and it's. y active direct deposit,2025-06-02,1,connect PayPal active direct deposit,0.0,0.748,0.252,0.4019,positive,0
terrible I can't get any help says my account has suspicious activity I accidentally tried to use my wrong email an new device .I need a advance can't get it cause of this I have wrote 6 messages no help at zll,2025-06-02,1,terrible get help say account suspicious activity accidentally try use wrong email new device need advance get cause write message help zll,0.373,0.627,0.0,-0.9415,negative,0
"they trick you by giving you a bigger advance the 1st time. they charge too much. if you pay back, they should offer you more. I paid back on time 3 times and they gave me less each time.",2025-06-02,1,trick give big advance time charge much pay back offer pay back time time give less time,0.068,0.868,0.063,0.2023,positive,0
charged me for subscription fee and did not give me any advance ....scam,2025-06-01,1,charge subscription fee give advance scam,0.13,0.87,0.0,-0.2023,negative,0
"will not let me cancel my subscription. keeps taking me in circles. I screen shot everything, if that subscription is taken out of my account there will be legal action",2025-06-01,1,let cancel subscription keep take circle screen shoot everything subscription take account legal action,0.0,0.893,0.107,0.3049,positive,0
